playerID,playerName,teamID,teamName,startYear,endYear,position
1,Mike Trout,LAA,Los Angeles Angels,2011,Present,OF
2,Bryce Harper,WAS,Washington Nationals,2012,2018,1B/OF
2,Bryce Harper,PHI,Philadelphia Phillies,2019,Present,1B/OF
3,Mookie Betts,BOS,Boston Red Sox,2014,2019,OF
3,Mookie Betts,LAD,Los Angeles Dodgers,2020,Present,2B/SS/OF
4,Aaron Judge,NYY,New York Yankees,2016,Present,OF
5,Jacob deGrom,NYM,New York Mets,2014,2022,SP
5,Jacob deGrom,TEX,Texas Rangers,2023,Present,SP
6,Fernando Tatis Jr.,SDP,San Diego Padres,2019,Present,SS/OF
7,Juan Soto,WAS,Washington Nationals,2018,2022,OF
7,Juan Soto,SDP,San Diego Padres,2022,2023,OF
7,Juan Soto,NYY,New York Yankees,2024,Present,OF
8,Max Scherzer,WAS,Washington Nationals,2015,2021,SP
8,Max Scherzer,LAD,Los Angeles Dodgers,2021,2021,SP
8,Max Scherzer,NYM,New York Mets,2022,2023,SP
8,Max Scherzer,TEX,Texas Rangers,2023,Present,SP
9,Nolan Arenado,COL,Colorado Rockies,2013,2020,3B
9,Nolan Arenado,STL,St. Louis Cardinals,2021,Present,3B
10,Freddie Freeman,ATL,Atlanta Braves,2010,2021,1B
10,Freddie Freeman,LAD,Los Angeles Dodgers,2022,Present,1B
11,Justin Verlander,DET,Detroit Tigers,2005,2017,SP
11,Justin Verlander,HOU,Houston Astros,2018,2022,SP
11,Justin Verlander,NYM,New York Mets,2023,2023,SP
11,Justin Verlander,HOU,Houston Astros,2023,Present,SP
12,Julio Rodriguez,SEA,Seattle Mariners,2022,Present,OF
13,Corey Seager,LAD,Los Angeles Dodgers,2015,2021,SS
13,Corey Seager,TEX,Texas Rangers,2022,Present,SS
14,Justin Turner,BAL,Baltimore Orioles,2009,2010,1B/2B/3B
14,Justin Turner,NYM,New York Mets,2010,2010,1B/2B/3B
14,Justin Turner,BAL,Baltimore Orioles,2010,2010,1B/2B/3B
15,Justin Turner,NYM,New York Mets,2011,2013,1B/2B/3B
15,Justin Turner,LAD,Los Angeles Dodgers,2014,2022,1B/2B/3B
15,Justin Turner,BOS,Boston Red Sox,2023,2023,1B/2B/3B
15,Justin Turner,TOR,Toronto Blue Jays,2024,2024,1B/2B/3B
15,Justin Turner,SEA,Seattle Mariners,2024,Present,1B/2B/3B
16,Randy Arozarena,STL,St. Louis Cardinals,2019,2019,OF
16,Randy Arozarena,TBR,Tampa Bay Rays,2020,2024,OF
16,Randy Arozarena,SEA,Seattle Mariners,2024,Present,OF
17,Zack Greinke,KCR,Kansas City Royals,2004,2010,SP
17,Zack Greinke,MIL,Milwaukee Brewers,2011,2012,SP
17,Zack Greinke,LAA,Los Angeles Angels,2012,2012,SP
17,Zack Greinke,LAD,Los Angeles Dodgers,2013,2015,SP
17,Zack Greinke,ARI,Arizona Diamondbacks,2016,2019,SP
17,Zack Greinke,HOU,Houston Astros,2019,2021,SP
17,Zack Greinke,KCR,Kansas City Royals,2022,2023,SP
18,Luis Castillo,CIN,Cincinnati Reds,2017,2022,SP
18,Luis Castillo,SEA,Seattle Mariners,2022,Present,SP
19,Shohei Ohtani,LAA,Los Angeles Angels,2018,2023,SP/DH
19,Shohei Ohtani,LAD,Los Angeles Dodgers,2024,Present,SP/DH
20,Gerrit Cole,PIT,Pittsburgh Pirates,2013,2017,SP
20,Gerrit Cole,HOU,Houston Astros,2018,2019,SP
20,Gerrit Cole,NYY,New York Yankees,2020,Present,SP
21,Francisco Lindor,CLE,Cleveland Guardians,2015,2020,SS
21,Francisco Lindor,NYM,New York Mets,2021,Present,SS
22,Trea Turner,WSN,Washington Nationals,2015,2021,SS
22,Trea Turner,LAD,Los Angeles Dodgers,2021,2022,SS
22,Trea Turner,PHI,Philadelphia Phillies,2023,Present,SS
23,Manny Machado,BAL,Baltimore Orioles,2012,2018,3B
23,Manny Machado,LAD,Los Angeles Dodgers,2018,2018,3B
23,Manny Machado,SDP,San Diego Padres,2019,Present,3B
24,Corbin Burnes,MIL,Milwaukee Brewers,2018,2023,SP
24,Corbin Burnes,BAL,Baltimore Orioles,2024,Present,SP
25,Yordan Alvarez,HOU,Houston Astros,2019,Present,OF
26,Jose Altuve,HOU,Houston Astros,2011,Present,2B
27,Matt Olson,OAK,Oakland Athletics,2016,2021,1B
27,Matt Olson,ATL,Atlanta Braves,2022,Present,1B
28,Jose Ramirez,CLE,Cleveland Guardians,2013,Present,3B
29,Corbin Carroll,ARI,Arizona Diamondbacks,2022,Present,OF
30,Zac Gallen,MIA,Miami Marlins,2019,2019,SP
30,Zac Gallen,ARI,Arizona Diamondbacks,2019,Present,SP
31,Marcus Semien,CHW,Chicago White Sox,2013,2014,2B/3B
31,Marcus Semien,OAK,Oakland Athletics,2015,2020,SS
31,Marcus Semien,TOR,Toronto Blue Jays,2021,2021,2B/SS
31,Marcus Semien,TEX,Texas Rangers,2022,Present,2B
32,Blake Snell,TBR,Tampa Bay Rays,2016,2020,SP
32,Blake Snell,SDP,San Diego Padres,2021,2023,SP
32,Blake Snell,SFG,San Francisco Giants,2024,Present,SP
33,Adolis Garcia,STL,St. Louis Cardinals,2017,2019,OF
33,Adolis Garcia,TEX,Texas Rangers,2020,Present,OF
34,Zack Wheeler,NYM,New York Mets,2013,2019,SP
34,Zack Wheeler,PHI,Philadelphia Phillies,2020,Present,SP
35,Tyler Glasnow,PIT,Pittsburgh Pirates,2016,2018,SP
35,Tyler Glasnow,TBR,Tampa Bay Rays,2018,2023,SP
35,Tyler Glasnow,LAD,Los Angeles Dodgers,2024,Present,SP
36,Teoscar Hernandez,HOU,Houston Astros,2016,2017,OF
36,Teoscar Hernandez,TOR,Toronto Blue Jays,2017,2022,OF
36,Teoscar Hernandez,SEA,Seattle Mariners,2023,2023,OF
37,Teoscar Hernandez,LAD,Los Angeles Dodgers,2024,Present,OF
38,Bobby Witt Jr.,KCR,Kansas City Royals,2022,Present,SS
39,Giancarlo Stanton,MIA,Miami Marlins,2010,2017,OF
39,Giancarlo Stanton,NYY,New York Yankees,2018,Present,OF/DH
40,Christian Yelich,MIA,Miami Marlins,2013,2017,OF
40,Christian Yelich,MIL,Milwaukee Brewers,2018,Present,OF
41,Anthony Rizzo,SDP,San Diego Padres,2011,2011,1B
41,Anthony Rizzo,CHC,Chicago Cubs,2012,2021,1B
41,Anthony Rizzo,NYY,New York Yankees,2021,Present,1B
